time,current[mA],RANGE1[V],RANGE2[V],RANGE3[V],RANGE4[V],24bit[bin]
10:16:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732846
10:16:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:16:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:16:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:17:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:17:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732849
10:17:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:17:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732834
10:17:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
10:17:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732837
10:18:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732848
10:18:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732829
10:18:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
10:18:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732824
10:18:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:18:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:19:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732871
10:19:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:19:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
10:19:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732876
10:19:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:19:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732892
10:20:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:20:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732875
10:20:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:20:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732877
10:20:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732886
10:20:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732877
10:21:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732883
10:21:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:21:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:21:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:21:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732842
10:21:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:22:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732871
10:22:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732879
10:22:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732844
10:22:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:22:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:22:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:23:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732839
10:23:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732854
10:23:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:23:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732864
10:23:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:23:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:24:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732854
10:24:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732865
10:24:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732836
10:24:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:24:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:24:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
